lib,totalReads,miRNA
glob.EP.EP.1,3922370,164175
glob.EP.EP.4,4673794,205833
hrt.EP.EP.1,6326086,969564
hrt.EP.EP.2,3594533,611233
cot.EP.EP.1,5990807,1287122
cot.EP.EP.2,6664452,1245117
glob.ES.ES.3,2806981,630120
glob.ES.ES.4,2664671,792385
hrt.Es.ES.1,2927791,142178
hrt.Es.ES.2,3179677,93242
cot.ES.ES.1,3341948,83074
cot.ES.ES.2,3205068,126879
em.ES.ES.1,3157221,99419
em.ES.ES.2,5993040,96452
glob.SC.OI.1,7497189,391885
glob.SC.OI.2,4960013,241032
hrt.SC.OI.1,3719025,279020
hrt.SC.OI.2,4920541,323574
cot.SC.OI.1,5014035,356551
cot.SC.OI.2,9179804,526033
em.SC.HG.1,3123223,543650
em.SC.HG.2,3038494,513126
em.SC.PY.1,2606112,325303
em.SC.PY.2,5960687,771245
